Feature_ID,Result,top_ref,identity,Domain,Phylum,Class,Order,Family,Genus
aea0e0dd1f5be41492cd9ad3ed815bd1,perfect,LjRoot3,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
1212556e63e79a6228026e56ff8a0e17,perfect,LjRoot289,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
c1f8f71307f018f3bd2c34fc98201d23,perfect,LjRoot240,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium
b4ed6e6b049f7f845cd5dfcd60208c95,perfect,LjRoot83=LjRoot84=LjRoot85=LjRoot130=LjRoot175=LjRoot178=LjRoot179=LjRoot290,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
2398837163b1f7dff95aeff5c3010fcb,perfect,LjRoot67=LjRoot74=LjRoot96=LjRoot105=LjRoot133=LjRoot144,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
e002e6b7a405bd92414d1db71fc176d0,perfect,LjRoot92=LjRoot232,100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
858db78a9c577f69290c1f523f12a5e9,perfect,LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
7ad04377f6c8a5919255bb1c5986efcf,perfect,LjRoot219,100,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
a5a6111ffb26c31b02a66f3bed7e7725,perfect,LjRoot299,100,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
11c750619af99d5bea5d7d7aca0a38ad,perfect,LjRoot10,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer
5fb5b66d1a5665d3c6ee40f89bd51c41,perfect,LjRoot98=LjRoot238=LjRoot255=LjRoot265,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
c53b0187195cd1bf7dda2f0575023463,perfect,LjRoot291=LjRoot300,100,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
7cef53b7fff2faec99ae98eddbe21e86,perfect,LjRoot244,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum
87f39566970de45e4bddfac6db1828ea,perfect,LjRoot17,100,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
0d6d5832d1a9fff88261381fa52e8761,perfect,LjRoot243,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,0
e3ec021309532068e30618f60ce2edf9,perfect,LjRoot254,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
fe96bd2bc321a90d6371cc3620d49690,perfect,LjRoot71,100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
af9e35a1100f1ec00f140b0b5694b192,perfect,LjRoot226=LjRoot262,100,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
4220f825b744d4188d9acad58b863237,perfect,LjRoot4=LjRoot52=LjRoot142=LjRoot253,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea
ae5a5ddbd6f69024e2f1648f043dc6fb,perfect,LjRoot12=LjRoot42=LjRoot44=LjRoot186=LjRoot249,100,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
c428026c4032b7bd85840b081d6ee95a,other,NA,NA,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
09e062860ed1838dbcec7ab25fe20eba,other,NA,NA,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
e6ef2552608207b584bd1380e69fa7a5,perfect,LjRoot229,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
2599d40669b78a17ff123f123dc9374d,other,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium
447e1fc1cdb37dba3e8a87fed92b0f1d,perfect,LjRoot227,100,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
82ff85afddd6a3343f9f41f597083ea8,perfect,LjRoot104=LjRoot239,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,0
202aa98803293f1b34529efadfa81b32,perfect,LjRoot2=LjRoot46=LjRoot50=LjRoot51,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella
28adab0fd84c429057d06a662f8e26f6,other,NA,NA,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
462b4d96bba84fc788a76a9a790d5188,perfect,LjRoot30,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
8eada08b3fdfb1f9706fe5240f37b1b8,perfect,LjRoot220,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
096bb3f4046806afbf0002070eb5b14b,perfect,LjRoot184,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
8a5d232c6927a9d40da16d73c776c591,perfect,LjRoot122,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
1e94f452cd60beb727b83ccfd38e6582,perfect,LjRoot145,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea
a94992f297237ecc3ae63cf424f3dbf5,perfect,LjRoot248,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
25f50286877b75132ef5ec0dc684eb73,other,NA,NA,Bacteria,0,0,0,0,0
e43f7173baab1621be9530cbe913353f,perfect,LjRoot29=LjRoot31=LjRoot34,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
d93d2a2e7b0c2ed96ca6074a717a8a4d,perfect,LjRoot78,100,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
9dd43b18a48d6387f08c9e56c239b53b,perfect,LjRoot11,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
16ecf43905346fd430adefb65bc76d87,perfect,LjRoot277,100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
376bd74764937630f3edd72f265a1158,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,uncultured
8d2061a34a2d6c4c5e549a9773d40e85,perfect,LjRoot237,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea
335241f9cdeb4a16e3f395cb7809d30e,perfect,LjRoot224,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
6c2c733a19e183c5f69dc9a1ff158878,perfect,LjRoot13,100,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter
2e7e1875480758222ec766186231bf8f,perfect,LjRoot20=LjRoot37=LjRoot38=LjRoot129=LjRoot138=LjRoot192,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
7e15f66fc66dfd45f188eea20fd046e8,perfect,LjRoot152,100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
0b0bf54fef83fc9eb80a26378aad4e25,perfect,LjRoot152,100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
c5e5472ce7f26f5ef7908d3f3e456c2e,perfect,LjRoot117,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
852c7e485032fc07545cfb354ebe781c,perfect,LjRoot80,100,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
18f73a8f78892ddfcb541f52197271b8,other,NA,NA,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
0a6500988522bc9d6aee2776322a6db1,perfect,LjRoot257,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer
0ad7bbf9d40e6acc7dccdafc38422be7,perfect,LjRoot251,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
bd54cdde92c9729991f2130849672d54,perfect,LjRoot131,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas
9cf7d60d1b9bd9e796c64f0e5bdb14c4,perfect,LjRoot54=LjRoot59=LjRoot111=LjRoot147=LjRoot151=LjRoot154=LjRoot159=LjRoot182=LjRoot195=LjRoot250,100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
7ffd15236a99f74873d4ee9220a87a29,perfect,LjRoot230,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
5603a9c6ddf83803ec6b62013849b578,perfect,LjRoot97=LjRoot101=LjRoot167,100,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
41d384b0fa21f012ecb6ae5ba52c4321,perfect,LjRoot122,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
eded53f2fd2471b8c955a6feec859837,perfect,LjRoot246,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
0fdc352253b2440094fb41f2ab79aaef,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0
8d7381e715a298a33abd6fed29d437c9,perfect,LjRoot9=LjRoot233,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea
067d6c91c00eecd4aea75d5a4bddfc36,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0
55fb35194d78ee11f56c3d3a295890b0,perfect,LjRoot153,100,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
eedae0b0ee37b5e5fef37279c17171b3,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
eeb774acd861a763cb884e3d6a0761ec,perfect,LjRoot28,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhizobacter
b5c8b27bd5976a712a1dcc40b4436cbf,other,NA,NA,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
1230ffcd7be8f6a5a63db77f9f232a03,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0
8b77e5843dfd0f36463bb6431940f429,perfect,LjRoot247,100,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
4f8aba99659f6899edc4a7732a06e49a,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
037a2d89aead1bdaa8ee763ae9711269,perfect,LjRoot296,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus
a47b3017cc086f22fbf73cdc8f91d64f,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0
974576c8be5ba0b71cd7832866d24c05,perfect,LjRoot65=LjRoot194,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
3733516e077d77db24d78bcf63865fb4,other,NA,NA,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
ea2b5b721c983918a29d59beee6cb6fd,perfect,LjRoot222,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
4843dd6b81046729a74885b4daa5758a,perfect,LjRoot122,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
3588e1c4b4fab70734e4cd784025e21d,perfect,LjRoot19=LjRoot45,100,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
6429667873a3d2dd6a53ce2837a22c07,perfect,LjRoot90,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea
35269020cda245f187eb7dd0791a5432,other,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Syzygium luehmannii
9161fe708465cd38a265bf16f62d6488,perfect,LjRoot223,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
7d93a8d68b60f5791183f4920ae2641c,perfect,LjRoot261,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea
db2c4b787b90ce6956a45ce9a9e10849,perfect,LjRoot231,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Phyllobacterium
25f064270128b2c559018fa84bd4520e,perfect,LjRoot27=LjRoot49,100,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter
f7ce02f79670e335e8af7eb622ae4d5e,perfect,LjRoot293,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,0
eb92e8c9e8f6747bc8515640ec20b841,other,NA,NA,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
c6028ab1f5813b36a2dffd32d0e38573,good,LjRoot1,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter
d31beadd4fa965c07d645b0aec73e275,good,LjRoot283,99.7,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
61d0266674536ea62b4b986c8b4bc43b,good,LjRoot70=LjRoot91,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudoduganella
fd20bdf653287dd3de85661cd7eb5cc8,good,LjRoot246,99.7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,0
7be6f3989622b7ccd63266e4803c584a,good,LjRoot299,99.7,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
b23883e4d60250e99543615c3267d957,good,LjRoot22=LjRoot241=LjRoot267,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
452f8957b1e574d5d1dbc0ae81fec920,good,LjRoot220,99.7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
08e192b1210e7ecde6271a132c10c88a,good,LjRoot11,99.7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
7ce72efd8cb9b965864dabb5e1118643,good,LjRoot289,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
2708906200631e0580a41392ad84704c,good,LjRoot152,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
46b0f9245b125a72545dc15ecba45159,good,LjRoot247,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
e69a0d615e36a348972dd66f07a2dabe,good,LjRoot22=LjRoot241=LjRoot267,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
4d1a9146377f18e58c642afadad2cec8,good,LjRoot122,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
64ff8472d625c41370deb55307706209,good,LjRoot277,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
64a8651759aedea5492e6be7a8cc37d2,good,LjRoot13,99.7,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter
6fb4f1f07b35973dce3dcf6ed539c87e,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter
8a8ac92e2843581a23c3a875d2aa2af3,good,LjRoot287,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudoduganella
809775cbb9eec62549c2330bfca3ec68,good,LjRoot254,99.7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
049d210cefea97a0b011ee36bdd0033b,good,LjRoot71,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
a3f931d518dea7fd863205ab65021849,other,NA,NA,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
e4f703c10d0197ab2a949081f6e0115b,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0
bdc53dc2ebd20a2e5deb0b07ba407549,good,LjRoot152,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ee0b49b0815f9bcd2849093811ab7989,good,LjRoot152,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
1f0fa82556de1670872587cf01231794,good,LjRoot122,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
36bc746aa1b041a4e9096feb2d90794a,good,LjRoot291=LjRoot300,99.7,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
451c4ded724efed8acf9fc947ab93a85,good,LjRoot92=LjRoot232,99.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
a1e41d883fcf4a43a2ac848a70c28543,good,LjRoot82,99.7,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ccedcae292be09909fe82ac69b447ada,good,LjRoot97=LjRoot101=LjRoot167,99.7,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
bd6720229b55e52b4f095dc493d42085,good,LjRoot183,99.5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
3fdba3a89eb8e2ac21072562ca0db8e7,other,NA,NA,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
5f6b165f3c5fcd98b10cf9d77b8815b0,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0
465406679488012ff1a49ec88e2c7e39,good,LjRoot183,99.5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
7effe4faa1f26bf9ff911521e0e52d57,good,LjRoot122,99.5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
31c53d9aab8a104513c360b5e2e7638f,good,LjRoot11,99.5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
fe5625f8e0a8da930379f0a94b97389b,good,LjRoot62=LjRoot69=LjRoot99=LjRoot126=LjRoot139=LjRoot150=LjRoot160=LjRoot161=LjRoot170=LjRoot171=LjRoot172=LjRoot203=LjRoot236=LjRoot260=LjRoot294=LjRoot302,99.5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
89a20bba4b648137bc7ac09f5307b3fc,other,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
8e76aaa108fc45e201e40ff625dd51c0,good,LjRoot117,99.5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax
5bba640bf434564e7e51be960945f741,good,LjRoot122,99.5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
2cb38af3ec67e51fe86fa8ddd9bd9cce,good,LjRoot162=LjRoot252,99.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
d0331c97f1bcc99db07d2bbd8729a03b,good,LjRoot231,99.5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Phyllobacterium
ddf3f9aa67ce46368e9f7608393da11b,good,LjRoot219,99.5,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
df3c3c55df21cace009458cc54b47dee,good,LjRoot244,99.5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum
e8d278a2624862db4905e9727525439d,other,NA,NA,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
00fb5375c6212c100fc603fc4deff2e3,good,LjRoot289,99.5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
